gene,carbon_source,fitness,overall_disruption
b2818,pyr,-2.1630000000000003,complete
b2818,rib__D,-3.5199999999999996,complete
b2818,succ,-3.706,complete
b2818,xyl__D,-3.028,complete
b2838,ac,-5.0975,complete
b2838,fru,-5.551,complete
b2838,glc__D,-4.5177499999999995,complete
b2838,glyc,-5.3795,complete
b2838,lac__D,-5.446,complete
b2838,pyr,-4.227,complete
b2838,rib__D,-4.8995,complete
b2838,succ,-4.7275,complete
b2838,xyl__D,-5.1325,complete
b2913,ac,-4.692,complete
b2913,fru,-4.8965,complete
b2913,glc__D,-4.5809999999999995,complete
b2913,glyc,-3.518,complete
b2913,lac__D,-5.4045000000000005,complete
b2913,pyr,-4.9305,complete
b2913,rib__D,-4.442,complete
b2913,succ,-4.553,complete
b2913,xyl__D,-5.0055,complete
b2987,ac,-0.0925,primary_partial
b2987,fru,-0.07200000000000001,primary_partial
